Order_ID,Order_Date,Ship_Date,Delivery_Days,Customer_ID,Customer_Name,Customer_Age,Gender,Customer_Type,Region,State,City,Category,Product_Name,Quantity,Unit_Price,Cost_Price,Sales,Discount_Percent,Discount_Type,Profit,Profit_Margin_Percent,Returned,Customer_Rating,Payment_Mode,Shipping_Mode,Salesperson_ID,Salesperson_Name
ORD000001,2026-02-21,2026-02-21,0,CUST3286,Ayaan Kaul,65,Male,Returning,East,West Bengal,Kolkata,Electronics,Laptop,9,48745.4,367496.8,438708.6,0,No Discount,71211.8,16.23,No,3,UPI,Same Day,SP002,Om Bains
ORD000002,2024-06-07,2024-06-10,3,CUST9928,Anusha Vora,44,Male,Returning,Central,Madhya Pradesh,Bhopal,Furniture,Table,5,6118.39,19548.4,30591.95,0,No Discount,11043.55,36.1,No,4,Debit Card,Express,SP022,Peter Dave
ORD000003,2023-07-01,2023-07-01,0,CUST7224,Ikbal Chowdhury,24,Female,Returning,East,West Bengal,Kolkata,Furniture,Table,10,5469.7,37516.51,45945.48,16,Clearance Sale,8428.97,18.35,No,5,Cash,Same Day,SP008,Idika Rau
ORD000004,2024-01-04,2024-01-05,1,CUST4150,Krishna Kadakia,63,Male,New,East,Odisha,Bhubaneswar,Electronics,Headphones,4,2812.36,5650.27,9337.04,17,Clearance Sale,3686.76,39.49,No,4,Cash,Express,SP018,Parth Kanda
ORD000005,2023-08-14,2023-08-14,0,CUST5374,Lila Srivastava,62,Male,Returning,East,Bihar,Patna,Clothing,Jeans,3,1599.73,2758.16,4223.29,12,Festival Offer,1465.12,34.69,No,4,Net Banking,Same Day,SP018,Parth Kanda
ORD000006,2025-03-23,2025-03-23,0,CUST6168,Abeer Dhillon,43,Female,New,North,Rajasthan,Jaipur,Furniture,Sofa,10,23417.02,125067.46,184994.46,21,Clearance Sale,59927.0,32.39,No,4,Cash,Same Day,SP042,Harshil Pau
ORD000007,2023-08-15,2023-08-19,4,CUST8019,Ati Sampath,55,Female,Returning,South,Karnataka,Mysore,Furniture,Sofa,3,24659.73,46787.31,69540.44,6,Loyalty Discount,22753.12,32.72,No,3,Credit Card,Standard,SP041,Lipika Sarkar
ORD000008,2025-10-05,2025-10-09,4,CUST8668,Ryan Sen,51,Female,Returning,North,Delhi,New Delhi,Home Appliances,Air Conditioner,1,58457.62,39344.09,58457.62,0,No Discount,19113.53,32.7,No,3,Cash,Premium,SP019,Isha Pandya
ORD000009,2026-01-26,2026-01-29,3,CUST9201,Banjeet Rau,29,Male,Returning,North,Punjab,Ludhiana,Furniture,Wardrobe,5,16057.67,56261.15,70653.75,12,Festival Offer,14392.59,20.37,No,5,Net Banking,Premium,SP050,Faris Palla
ORD000010,2026-05-23,2026-05-30,7,CUST2832,Harita Ravi,41,Female,New,East,Bihar,Patna,Electronics,Headphones,4,3008.54,9002.8,12034.16,0,No Discount,3031.36,25.19,Yes,1,Net Banking,Standard,SP049,Vaishnavi Singh
